Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Price range,Aggregate rating,Votes
1,Papa Buns,1,New Delhi,"1st Floor, B, Hudson Lane, Delhi University-GTB Nagar, New Delhi",Delhi University-GTB Nagar,"Delhi University-GTB Nagar, New Delhi",77.2039851,28.6943776,Cafe,250,Indian Rupees(Rs.),No,No,1,0,1
2,Shamji Sweets,1,Gurgaon,"289/2, Old Delhi Road, Near Telephone Exchange, Sector 14, Gurgaon",Sector 14,"Sector 14, Gurgaon",77.0394496,28.4702133,"Mithai, South Indian, Chinese, Street Food, North Indian",600,Indian Rupees(Rs.),No,No,2,2.9,26
3,Handi Chhadeyan Di,1,Faridabad,"Shop 138, HUDA Market, Near HDFC Bank, Sector 16, Faridabad",Sector 16,"Sector 16, Faridabad",77.3185323,28.4106593,North Indian,400,Indian Rupees(Rs.),No,No,1,3.1,26
4,Snacks Bar,1,Faridabad,"Near Pristine Mall, Sector 31, Faridabad",Sector 31,"Sector 31, Faridabad",77.315795,28.4452616,Chinese,350,Indian Rupees(Rs.),No,No,1,2.9,4
5,Mairu's,1,Noida,"Shop 7A, Sethi Arcade, Sector 76, Near Sector 72, Noida",Sector 72,"Sector 72, Noida",77.3851512,28.5646289,"North Indian, Chinese, Fast Food",300,Indian Rupees(Rs.),No,No,1,0,2
6,Bikaner Sweets & Restaurant,1,New Delhi,"R-3, Rita Block, Main Market, Shakarpur, New Delhi Shakarpur",Shakarpur,"Shakarpur, New Delhi",77.282282,28.6328078,"Desserts, North Indian",250,Indian Rupees(Rs.),No,No,1,0,1
7,Green Chick Chop,1,New Delhi,"G-1 DDA Shopping Complex, New Rajdhani Enclave Market, Near Preet Vihar Metro station, Preet Vihar, New Delhi",Preet Vihar,"Preet Vihar, New Delhi",77.2956527,28.6427539,"Raw Meats, North Indian, Fast Food",350,Indian Rupees(Rs.),No,No,1,3,4
8,Cake O Frost,1,New Delhi,"Paschim Vihar, New Delhi",Paschim Vihar,"Paschim Vihar, New Delhi",77.090488,28.667271,Bakery,350,Indian Rupees(Rs.),No,No,1,3.3,14
9,Mulligan Cafe,1,New Delhi,"Press Enclave Marg, Lado Sarai, New Delhi",Lado Sarai,"Lado Sarai, New Delhi",0,0,"South Indian, Fast Food",300,Indian Rupees(Rs.),No,No,1,0,1
10,Gupta's Rasoi,1,New Delhi,"B-6, Commercial Market, Safdarjung Enclave, Safdarjung, New Delhi",Safdarjung,"Safdarjung, New Delhi",77.19629455,28.558874,North Indian,350,Indian Rupees(Rs.),No,Yes,1,2.8,60
11,Origin Coffee Roasting,189,Cape Town,"28 Hudson Street, De Waterkant, Cape Town",De Waterkant,"De Waterkant, Cape Town",18.41766667,-33.91733333,"Cafe, Bakery, Tea, Vegetarian",200,Rand(R),No,No,3,4,185
12,Handa's,1,New Delhi,"292, Near Radhu Palace Cinema, West Guru Angad Nagar, Laxmi Nagar, New Delhi",Laxmi Nagar,"Laxmi Nagar, New Delhi",77.2830396,28.6405769,"North Indian, Chinese",500,Indian Rupees(Rs.),No,Yes,2,2.6,8
13,The Lady & Sons,216,Savannah,"102 W Congress St, Savannah, GA 31401",Savannah,"Savannah, Savannah",-81.0954,32.0804,Southern,40,Dollar($),No,No,3,3.3,1201
14,Mochamania,1,Gurgaon,"106, The Laburnum Villa, Sushant Lok, Gurgaon",Sushant Lok,"Sushant Lok, Gurgaon",77.0747614,28.4710018,Bakery,300,Indian Rupees(Rs.),No,No,1,3.7,50
15,Bengali By Nature,1,Gurgaon,"Shop 1016, Maruti Vihar, Chakkarpur, MG Road, Gurgaon",MG Road,"MG Road, Gurgaon",77.0827529,28.4766191,"Fast Food, Chinese, Bengali",400,Indian Rupees(Rs.),No,Yes,1,3.3,38
16,Country Curries,1,New Delhi,"21, Savitri Cinema Complex, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Greater Kailash (GK) 2, New Delhi",77.24002328,28.54125928,"North Indian, Bengali",800,Indian Rupees(Rs.),No,Yes,2,3.5,139
17,Active Sushi,189,Cape Town,"32 Hudson Street, Mirage Building, Green Point, Cape Town",Green Point,"Green Point, Cape Town",18.417566,-33.917258,Sushi,250,Rand(R),No,No,3,3.8,127
18,Diggin,1,New Delhi,"Anand Lok Shopping Centre, Opposite Gargi College, Anand Lok, New Delhi",Anand Lok,"Anand Lok, New Delhi",77.2194983,28.5556355,"Italian, Continental, Cafe",1400,Indian Rupees(Rs.),Yes,Yes,3,4.2,2131
19,Ipshita's Cakes Mamma Bakes,1,New Delhi,"C7, Soami Nagar South, Panchsheel Park, New Delhi",Panchsheel Park,"Panchsheel Park, New Delhi",77.2260944,28.5420321,Bakery,700,Indian Rupees(Rs.),No,No,2,3.1,11
20,Old Moradabadi Chicken Corner,1,New Delhi,"B116, Opposite Metro Pillar 164, New Ashok Nagar, Vasundhara Enclave, New Delhi",Vasundhara Enclave,"Vasundhara Enclave, New Delhi",77.30620712,28.5890838,North Indian,400,Indian Rupees(Rs.),No,No,1,0,0
21,Al Bake,1,New Delhi,"22/2, PVR Anupam Complex, Community Centre, Saket, New Delhi",PVR Anupam Complex,"PVR Anupam Complex, New Delhi",77.2069673,28.5233797,"Lebanese, Chinese",500,Indian Rupees(Rs.),No,No,2,3.2,159
22,Giani,1,New Delhi,"G-5, Aggarwal Towers, I.P.Extension, Near Ajanta Apartments, Patparganj, New Delhi",Patparganj,"Patparganj, New Delhi",77.3080199,28.6280118,"Ice Cream, Desserts",400,Indian Rupees(Rs.),No,No,1,3.5,65
23,Fat Fish,1,Goa,"Agar Waddo, Calangute Arpora Road, Bardez, Baga, Goa",Baga,"Baga, Goa",73.76363333,15.55656111,"North Indian, Continental, Goan",1000,Indian Rupees(Rs.),No,No,4,4.2,856
24,Bikaner Sweets & Bakers,1,New Delhi,"Shop A1/1, West Jyoti Nagar, Durgapuri Chowk, Shahdara, New Delhi",Shahdara,"Shahdara, New Delhi",77.2919382,28.6895977,"Mithai, Fast Food",500,Indian Rupees(Rs.),No,No,2,0,2
25,Chin Mi,1,Kanpur,"Rave 3, Plot 11, Block 6 Parwati Bagla Road, Tilak Nagar, Kanpur","Rave 3, Tilak Nagar","Rave 3, Tilak Nagar, Kanpur",80.32779722,26.49210556,Chinese,1500,Indian Rupees(Rs.),No,No,4,3.9,86
26,BTW,1,New Delhi,"A-17, Tagore Market, Kirti Nagar, New Delhi",Kirti Nagar,"Kirti Nagar, New Delhi",77.1371133,28.6542971,"Street Food, South Indian, Mithai",400,Indian Rupees(Rs.),No,No,1,3.2,19
27,Wimpy,1,New Delhi,"31, Aurobindo Place Market, Hauz Khas, New Delhi",Hauz Khas,"Hauz Khas, New Delhi",77.2039227,28.5522405,"Fast Food, Burger",350,Indian Rupees(Rs.),No,No,1,2.6,220
28,Green Chick Chop,1,New Delhi,"G-18, Hudson Lane, Delhi University-GTB Nagar, New Delhi",Delhi University-GTB Nagar,"Delhi University-GTB Nagar, New Delhi",77.2040261,28.6949494,"Raw Meats, North Indian, Fast Food",350,Indian Rupees(Rs.),No,Yes,1,3.1,72
29,Taco Bell,1,Noida,"M-18, Food Court, 4th Floor, DLF Mall of India, Sector 18, Noida","DLF Mall of India, Sector 18,  Noida","DLF Mall of India, Sector 18,  Noida, Noida",77.32083656,28.56733177,"Mexican, Fast Food",550,Indian Rupees(Rs.),No,Yes,2,3.6,397
30,Yummi Kolkataa,1,New Delhi,"13, Market 1, Chittaranjan Park, New Delhi",Chittaranjan Park,"Chittaranjan Park, New Delhi",77.248847,28.5399215,Mithai,150,Indian Rupees(Rs.),No,No,1,3.2,17
31,Subway,1,Noida,"Shop 3, Supertech Shopprix Mall, Sector 61, Noida","Supertech Shopprix Mall, Sector 61","Supertech Shopprix Mall, Sector 61, Noida",77.36498103,28.59689799,"American, Fast Food, Salad, Healthy Food",500,Indian Rupees(Rs.),No,Yes,2,2.3,24
32,Culinaire,1,New Delhi,"Shop 2, Chandan Market, S Block, Greater Kailash (GK) 2, New Delhi",Greater Kailash (GK) 2,"Greater Kailash (GK) 2, New Delhi",77.2456868,28.5306722,"Chinese, Thai",1000,Indian Rupees(Rs.),No,Yes,3,3.8,843
33,AMPM CafÌ© & Bar,1,New Delhi,"J 2/5, 3rd & 4th Floor, B.K. Dutt Market, Rajouri Garden, New Delhi",Rajouri Garden,"Rajouri Garden, New Delhi",77.1201223,28.6477737,"Continental, Italian, American",1400,Indian Rupees(Rs.),No,No,3,4.1,1980
34,Funduz Cafe,1,New Delhi,"WZ-188, Punjabi Market, Tilak Nagar, New Delhi",Tilak Nagar,"Tilak Nagar, New Delhi",77.1002905,28.6449182,Fast Food,300,Indian Rupees(Rs.),No,No,1,0,3
35,Domino's Pizza,1,New Delhi,"C-7, Malviya Nagar, New Delhi",Malviya Nagar,"Malviya Nagar, New Delhi",77.211528,28.5363241,"Pizza, Fast Food",700,Indian Rupees(Rs.),No,No,2,2.3,185
36,Kabbaba,1,New Delhi,"A2, Shop 9-12, JDS, DDA Community Center, Paschim Vihar, New Delhi",Paschim Vihar,"Paschim Vihar, New Delhi",77.10144192,28.67004128,"North Indian, Chinese, Fast Food",500,Indian Rupees(Rs.),No,Yes,2,3.3,31
37,Bakerz Lodge,1,New Delhi,"19 NWA, Club Road, Punjabi Bagh, New Delhi",Punjabi Bagh,"Punjabi Bagh, New Delhi",77.12192863,28.66666563,"Bakery, Desserts",250,Indian Rupees(Rs.),No,Yes,1,4.1,99
38,Heart Cup Coffee,1,Hyderabad,"B 7 & 8, Jubilee Garden, Behind TCS Building, E Park, Kondapur, Hyderabad",Kondapur,"Kondapur, Hyderabad",78.36885475,17.45970973,"Cafe, Continental, North Indian, Chinese",1800,Indian Rupees(Rs.),No,Yes,3,4.2,1859
39,The Chickmunks Express,1,Noida,"Sector 41, Noida",Sector 41,"Sector 41, Noida",77.360571,28.565447,"Fast Food, Italian, North Indian, Chinese",1300,Indian Rupees(Rs.),No,Yes,3,3,6
40,The Food Lab,1,Surat,"G-1 Western Vesu Point, Vesu, Surat",Vesu,"Vesu, Surat",72.77262915,21.14966885,"Italian, Lebanese, Mexican",900,Indian Rupees(Rs.),No,No,3,3.6,66
41,Punjabi Angeethi,1,New Delhi,"AL- 85, AL Market, Shalimar Bagh, New Delhi",Shalimar Bagh,"Shalimar Bagh, New Delhi",77.1616827,28.7033536,"North Indian, South Indian, Chinese",600,Indian Rupees(Rs.),No,Yes,2,3.2,28
42,Samrat Bakers,1,New Delhi,"Chowk Harikat Nagar, Kingsway Camps, Delhi University-GTB Nagar, New Delhi",Delhi University-GTB Nagar,"Delhi University-GTB Nagar, New Delhi",77.2075896,28.6984683,"Bakery, Fast Food",200,Indian Rupees(Rs.),No,No,1,2.6,16
43,HotPlate,1,New Delhi,"Vasant Apartments, Vasant Vihar, New Delhi",Vasant Vihar,"Vasant Vihar, New Delhi",0,0,"Fast Food, North Indian",150,Indian Rupees(Rs.),No,No,1,3.1,8
44,Gurgaon Mughlai Chicken,1,Gurgaon,"Rajiv Nagar, Near Apple Hospital, Sector 14, Gurgaon",Sector 14,"Sector 14, Gurgaon",77.0351435,28.4771621,"North Indian, Mughlai",350,Indian Rupees(Rs.),No,No,1,0,2
45,Babu Bhai Kabab Wale,1,New Delhi,"1465 B,Near Masjid Sayed Rafai, Chitli Qabar, Jama Masjid, New Delhi",Jama Masjid,"Jama Masjid, New Delhi",77.2339142,28.6472969,Mughlai,200,Indian Rupees(Rs.),No,No,1,3.4,12
46,Roti Aur Boti,1,New Delhi,"9, DDA Complex, Jail Road, New Delhi",Jail Road,"Jail Road, New Delhi",77.097836,28.6313278,Fast Food,100,Indian Rupees(Rs.),No,No,1,3.2,38
47,PiccoLicko,1,Gurgaon,"Plot 74, Sector 18, Near IFFCO Chowk, Udyog Vihar, Gurgaon",Udyog Vihar,"Udyog Vihar, Gurgaon",77.0652612,28.4875966,Desserts,200,Indian Rupees(Rs.),No,Yes,1,3.3,12
48,Cheffron Bakery,1,New Delhi,"B-26, Gopal Nagar, Main Dhansa Road, Najafgarh, New Delhi",Najafgarh,"Najafgarh, New Delhi",76.9718366,28.6103695,Bakery,250,Indian Rupees(Rs.),No,No,1,0,2
49,Barbeque Nation,1,Kolkata,"24, 1st Floor, Park Center Building, Park Street Area, Kolkata",Park Street Area,"Park Street Area, Kolkata",88.35412715,22.55108374,"North Indian, Chinese",1600,Indian Rupees(Rs.),No,No,3,4.9,1753
50,Jonathan's Kitchen - Holiday Inn Express & Suites,1,Hyderabad,"Holiday Inn Express & Suites, Gachibowli, Hyderabad",Holiday Inn Express & Suites,"Holiday Inn Express & Suites, Hyderabad",78.3475536,17.424114,"North Indian, Japanese, Italian",1900,Indian Rupees(Rs.),Yes,No,3,4.3,860
51,Sagar Bakery,1,Faridabad,"938, 7-10 Chowk, YMCA Road, Sector 10, Faridabad",Sector 10,"Sector 10, Faridabad",77.3270132,28.3692291,Bakery,150,Indian Rupees(Rs.),No,No,1,3,11
